Week Start Date;Weekly EAF;Weekly PCLF;Weekly UCLF;Weekly OCLF;Year;Fin_Year
2016-08-01;;;;;;
2016-08-01;;;;;;
2016-08-08;;;;;;
2016-08-15;;;;;;
2016-08-22;;;;;;
2016-08-29;;;;;;
2016-09-05;;;;;;
2016-09-12;;;;;;
2016-09-19;;;;;;
2016-09-26;;;;;;
2016-10-03;;;;;;
2016-10-10;;;;;;
2016-10-17;;;;;;
2016-10-24;;;;;;
2016-10-31;;;;;;
2016-11-07;;;;;;
2016-11-14;;;;;;
2016-11-21;;;;;;
2016-11-28;;;;;;
2016-12-05;;;;;;
2016-12-12;;;;;;
2016-12-19;;;;;;
2016-12-26;;;;;;
2017-01-02;;;;;;
2017-01-09;;;;;;
2017-01-16;;;;;;
2017-01-23;;;;;;
2017-01-30;;;;;;
2017-02-06;;;;;;
2017-02-13;;;;;;
2017-02-20;;;;;;
2017-02-27;;;;;;
2017-03-06;;;;;;
2017-03-13;;;;;;
2017-03-20;;;;;;
2017-03-27;;;;;;
2017-04-03;;;;;;
2017-04-10;;;;;;
2017-04-17;;;;;;
2017-04-24;;;;;;
2017-05-01;;;;;;
2017-05-08;;;;;;
2017-05-15;;;;;;
2017-05-22;;;;;;
2017-05-29;;;;;;
2017-06-05;;;;;;
2017-06-12;;;;;;
2017-06-19;;;;;;
2017-06-26;;;;;;
2017-07-03;;;;;;
2017-07-10;;;;;;
2017-07-17;;;;;;
2017-07-24;;;;;;
2017-07-31;;;;;;
2017-08-07;;;;;;
2017-08-14;;;;;;
2017-08-21;;;;;;
2017-08-28;;;;;;
2017-09-04;;;;;;
2017-09-11;;;;;;
2017-09-18;;;;;;
2017-09-25;;;;;;
2017-10-02;;;;;;
2017-10-09;;;;;;
2017-10-16;;;;;;
2017-10-23;;;;;;
2017-10-30;;;;;;
2017-11-06;;;;;;
2017-11-13;;;;;;
2017-11-20;;;;;;
2017-11-27;;;;;;
2017-12-04;;;;;;
2017-12-11;;;;;;
2017-12-18;;;;;;
2017-12-25;;;;;;
2018-01-01;;;;;;
2018-01-08;;;;;;
2018-01-15;;;;;;
2018-01-22;;;;;;
2018-01-29;;;;;;
2018-02-05;;;;;;
2018-02-12;;;;;;
2018-02-19;;;;;;
2018-02-26;;;;;;
2018-03-05;;;;;;
2018-03-12;;;;;;
2018-03-19;;;;;;
2018-03-26;;;;;;
2018-04-02;;;;;;
2018-04-09;;;;;;
2018-04-16;;;;;;
2018-04-23;;;;;;
2018-04-30;;;;;;
2018-05-07;;;;;;
2018-05-14;;;;;;
2018-05-21;;;;;;
2018-05-28;;;;;;
2018-06-04;;;;;;
2018-06-11;;;;;;
2018-06-18;;;;;;
2018-06-25;;;;;;
2018-07-02;;;;;;
2018-07-09;;;;;;
